slovo, a, b, c, d, e, f
A, 76.46, 70.49, 92.97, 53.12, 152.92, 76.46
C, 73.36, 63.81, 31.29, 93.7, 146.72, 8.198
B, 96.93, 94.94, 67.29, 67.6, 193.86, 7.634
A, 72.98, 95.08, 79.45, 65.29, 145.96, 72.98
B, 29.55, 100.42, 24.31, 69.8, 59.1, 31.965
C, 47.99, 80.62, 18.93, 23.5, 95.98, 18.324
A, 95.46, 58.35, 53.68, 13.17, 190.92, 95.46
C, 52.47, 13.96, 33.21, 35.1, 104.94, 5.178
B, 22.08, 60.55, 30.64, 43.32, 44.16, 14.697
B, 20.69, 46.84, 99.95, 75.13, 41.38, 6.84
C, 94.79, 79.84, 55.82, 60.71, 189.58, 7.241
B, 42.6, 88.2, 90.12, 36.29, 85.2, 8.824
B, 82.28, 66.34, 4.74, 14.34, 164.56, 25.443
A, 68.15, 52.81, 37.44, 84.01, 136.3, 68.15
C, 70.39, 67.75, 82.65, 57.83, 140.78, 6.435
B, 71.25, 46.89, 73.3, 15.63, 142.5, 5.729
C, 3.12, 8.2, 60.75, 4.73, 6.24, 5.871
A, 2.19, 94.89, 63.02, 6.81, 4.38, 2.19
B, 79.0, 99.15, 10.62, 20.39, 158.0, 27.467
C, 25.99, 72.21, 58.56, 10.81, 51.98, 11.285
A, 43.26, 71.44, 7.21, 95.72, 86.52, 43.26
C, 26.7, 79.91, 26.48, 54.06, 53.4, 21.8
B, 7.3, 80.4, 86.26, 58.12, 14.6, 24.122
A, 41.82, 47.33, 75.18, 49.13, 83.64, 41.82
C, 31.9, 44.91, 79.21, 54.0, 63.8, 6.375
A, 79.93, 87.9, 52.88, 18.95, 159.86, 79.93
A, 45.13, 75.45, 79.6, 99.3, 90.26, 45.13
C, 85.59, 45.09, 5.35, 7.56, 171.18, 12.62
A, 62.34, 87.49, 43.49, 75.67, 124.68, 62.34
A, 39.18, 91.14, 29.83, 11.75, 78.36, 39.18
A, 59.2, 13.57, 45.42, 37.47, 118.4, 59.2
C, 34.25, 2.86, 46.12, 47.69, 68.5, 5.116
C, 25.1, 40.21, 11.54, 14.87, 50.2, 14.43
C, 99.1, 17.87, 77.22, 98.01, 198.2, 5.069
C, 83.48, 67.51, 43.64, 98.54, 166.96, 7.274
C, 12.07, 98.4, 38.27, 23.49, 24.14, 45.152
B, 19.62, 70.78, 17.64, 46.19, 39.24, 31.466
B, 31.41, 17.87, 34.45, 79.35, 62.82, 5.463
A, 46.62, 52.31, 39.19, 38.26, 93.24, 46.62
C, 75.22, 55.28, 77.86, 42.24, 150.44, 5.924
C, 16.55, 57.63, 59.49, 76.45, 33.1, 11.0
A, 17.85, 41.07, 44.05, 33.44, 35.7, 17.85
B, 42.0, 9.25, 30.68, 38.1, 84.0, 5.12
C, 61.01, 84.06, 84.74, 99.88, 122.02, 7.562
C, 56.99, 48.88, 28.99, 8.72, 113.98, 7.513
B, 54.19, 13.59, 31.43, 54.93, 108.38, 5.173
B, 50.49, 58.83, 98.45, 78.83, 100.98, 6.243
C, 40.18, 85.82, 54.69, 2.01, 80.36, 11.299
B, 89.95, 56.13, 90.7, 69.87, 179.9, 5.685
B, 56.73, 7.35, 2.08, 36.57, 113.46, 5.697
B, 1.58, 63.5, 91.24, 71.16, 3.16, 55.446
B, 49.77, 5.56, 47.66, 11.99, 99.54, 5.057
A, 79.42, 39.29, 99.57, 86.81, 158.84, 79.42
C, 56.62, 79.36, 80.94, 17.86, 113.24, 7.555
A, 34.34, 91.65, 16.81, 40.0, 68.68, 34.34
C, 58.53, 82.77, 91.92, 75.7, 117.06, 7.382
B, 9.31, 17.52, 76.9, 23.95, 18.62, 5.705
A, 84.18, 68.37, 70.8, 9.87, 168.36, 84.18
B, 48.52, 69.75, 55.58, 37.44, 97.04, 8.294
C, 83.59, 49.68, 84.85, 68.5, 167.18, 5.608
A, 59.35, 38.95, 53.28, 63.72, 118.7, 59.35
B, 5.57, 62.28, 61.55, 22.19, 11.14, 25.338
A, 7.03, 88.35, 100.7, 80.28, 14.06, 7.03
A, 3.63, 68.48, 86.16, 7.4, 7.26, 3.63
A, 17.44, 12.38, 25.27, 15.49, 34.88, 17.44
A, 87.31, 42.39, 48.7, 60.4, 174.62, 87.31
C, 3.66, 16.38, 50.21, 10.88, 7.32, 7.337
C, 57.8, 61.07, 43.6, 70.79, 115.6, 7.652
C, 35.41, 92.6, 43.35, 55.4, 70.82, 15.61
A, 67.49, 41.91, 70.83, 29.48, 134.98, 67.49
A, 57.06, 20.97, 78.72, 16.37, 114.12, 57.06
B, 16.26, 13.13, 44.58, 86.77, 32.52, 5.391
A, 70.02, 89.53, 96.91, 99.05, 140.04, 70.02
A, 14.53, 57.86, 16.24, 97.98, 29.06, 14.53
C, 67.77, 7.72, 98.6, 79.04, 135.54, 5.032
B, 29.57, 67.69, 53.78, 94.25, 59.14, 10.238
A, 86.57, 91.45, 67.86, 72.34, 173.14, 86.57
A, 60.16, 15.87, 4.49, 6.36, 120.32, 60.16
C, 38.8, 79.04, 97.79, 91.26, 77.6, 8.06
A, 18.93, 16.08, 64.7, 68.58, 37.86, 18.93
B, 28.76, 100.61, 29.68, 81.58, 57.52, 27.786
A, 10.78, 33.84, 31.05, 42.71, 21.56, 10.78
A, 13.09, 7.48, 82.07, 42.95, 26.18, 13.09
C, 92.07, 90.08, 22.91, 2.91, 184.14, 12.277
B, 73.33, 21.41, 5.71, 58.42, 146.66, 6.704
A, 58.31, 80.39, 43.98, 93.78, 116.62, 58.31
A, 38.27, 42.62, 47.47, 58.74, 76.54, 38.27
C, 98.97, 19.38, 35.52, 64.14, 197.94, 5.169
B, 81.31, 29.93, 46.49, 3.85, 162.62, 5.388
B, 36.31, 79.83, 29.37, 69.71, 72.62, 16.114
A, 36.59, 82.77, 44.92, 28.24, 73.18, 36.59
A, 13.01, 50.8, 83.63, 76.09, 26.02, 13.01
B, 50.63, 66.28, 22.49, 58.88, 101.26, 11.99
A, 23.41, 64.01, 21.7, 83.98, 46.82, 23.41
B, 60.2, 44.89, 38.61, 23.85, 120.4, 6.49
C, 69.0, 73.09, 2.63, 66.22, 138.0, 59.06
A, 32.33, 18.84, 79.74, 83.64, 64.66, 32.33
B, 25.76, 23.75, 72.76, 4.37, 51.52, 5.488
B, 85.59, 99.79, 83.28, 61.82, 171.18, 7.682
C, 58.5, 98.24, 3.77, 1.41, 117.0, 88.791
A, 58.02, 50.6, 31.08, 78.45, 116.04, 58.02
B, 98.09, 66.33, 32.4, 74.27, 196.18, 7.509
B, 40.63, 46.89, 30.84, 22.05, 81.26, 8.032
B, 65.95, 48.36, 59.98, 23.75, 131.9, 6.027
A, 19.13, 85.7, 13.07, 81.89, 38.26, 19.13
A, 51.07, 85.76, 61.41, 28.35, 102.14, 51.07
B, 33.42, 33.2, 97.77, 11.38, 66.84, 5.563
A, 38.82, 17.07, 55.64, 78.08, 77.64, 38.82
C, 44.94, 9.04, 9.8, 49.86, 89.88, 5.289
C, 69.49, 24.23, 38.26, 45.22, 138.98, 5.354
C, 9.94, 100.49, 31.72, 50.8, 19.88, 66.53
A, 97.75, 65.67, 47.3, 53.14, 195.5, 97.75
C, 90.91, 5.23, 74.36, 1.96, 181.82, 5.029
B, 47.74, 75.67, 59.3, 42.72, 95.48, 8.735
C, 33.51, 73.25, 28.09, 51.85, 67.02, 15.474
A, 64.52, 77.69, 78.36, 65.7, 129.04, 64.52
B, 5.73, 93.04, 46.76, 3.82, 11.46, 66.404
C, 84.67, 53.9, 14.01, 73.3, 169.34, 9.311
C, 67.15, 83.92, 53.55, 77.57, 134.3, 8.669
C, 73.56, 70.5, 60.7, 29.69, 147.12, 7.036
A, 57.1, 43.45, 56.54, 16.19, 114.2, 57.1
C, 28.87, 85.24, 95.08, 55.88, 57.74, 9.971
B, 66.02, 85.48, 63.59, 72.64, 132.04, 8.269
A, 41.87, 75.91, 16.07, 49.51, 83.74, 41.87
A, 46.61, 41.46, 87.89, 94.0, 93.22, 46.61
B, 55.67, 95.09, 76.98, 74.88, 111.34, 9.023
A, 48.58, 69.5, 17.96, 9.21, 97.16, 48.58
B, 23.17, 74.92, 66.42, 23.62, 46.34, 11.726
C, 13.05, 100.54, 76.23, 61.9, 26.1, 24.527
C, 89.93, 96.26, 96.72, 19.62, 179.86, 7.035
A, 71.61, 56.29, 38.91, 35.08, 143.22, 71.61
A, 24.05, 13.58, 34.43, 52.82, 48.1, 24.05
B, 100.34, 65.91, 27.15, 33.75, 200.68, 7.887
C, 84.57, 53.65, 29.23, 37.64, 169.14, 7.049
A, 80.54, 37.51, 10.2, 83.04, 161.08, 80.54
A, 81.98, 37.03, 47.71, 60.28, 163.96, 81.98
A, 54.96, 67.48, 61.27, 3.37, 109.92, 54.96
B, 38.33, 40.75, 73.15, 6.78, 76.66, 6.008
C, 65.34, 34.74, 72.0, 23.02, 130.68, 5.429
B, 45.68, 26.95, 44.72, 74.93, 91.36, 5.576
A, 12.09, 1.94, 33.99, 59.86, 24.18, 12.09
A, 81.42, 29.01, 52.15, 20.11, 162.84, 81.42
A, 39.08, 49.18, 9.24, 74.08, 78.16, 39.08
B, 11.96, 98.38, 61.76, 41.9, 23.92, 30.102
B, 53.18, 65.52, 85.88, 50.45, 106.36, 6.702
B, 81.57, 25.83, 75.52, 29.65, 163.14, 5.177
A, 28.88, 50.25, 14.76, 17.69, 57.76, 28.88
C, 91.95, 84.63, 100.87, 3.77, 183.9, 6.449
B, 16.64, 62.75, 79.83, 63.89, 33.28, 10.336
B, 43.81, 11.81, 100.19, 8.7, 87.62, 5.065
B, 28.26, 98.5, 12.82, 38.75, 56.52, 56.299
C, 55.74, 54.64, 70.54, 15.32, 111.48, 6.341
C, 12.24, 69.19, 5.92, 71.75, 24.48, 125.385
A, 85.89, 55.67, 5.34, 88.17, 171.78, 85.89
C, 32.03, 41.99, 43.84, 11.41, 64.06, 7.14
A, 72.85, 33.47, 1.67, 96.68, 145.7, 72.85
C, 24.72, 15.7, 52.14, 82.87, 49.44, 5.309
B, 48.1, 83.93, 24.1, 85.33, 96.2, 16.381
B, 55.85, 73.17, 84.14, 32.99, 111.7, 7.095
C, 59.14, 98.93, 27.18, 90.88, 118.28, 16.671
C, 6.08, 22.33, 68.33, 24.37, 12.16, 6.937
B, 27.53, 50.06, 100.06, 33.73, 55.06, 6.591
A, 38.41, 84.59, 34.89, 92.64, 76.82, 38.41
B, 51.7, 26.87, 84.89, 8.3, 103.4, 5.27
C, 52.82, 47.43, 73.57, 85.17, 105.64, 6.004
B, 37.98, 83.06, 35.89, 28.48, 75.96, 14.466
A, 81.94, 44.15, 36.0, 56.73, 163.88, 81.94
C, 2.32, 68.87, 43.49, 30.22, 4.64, 90.655
C, 71.87, 47.52, 74.54, 22.39, 143.74, 5.731
C, 60.64, 54.33, 69.97, 63.06, 121.28, 6.228
B, 84.5, 98.36, 73.59, 20.24, 169.0, 7.981
A, 9.91, 39.34, 57.31, 63.5, 19.82, 9.91
A, 50.63, 49.31, 78.79, 59.8, 101.26, 50.63
B, 7.5, 20.81, 46.13, 4.68, 15.0, 6.989
A, 72.52, 60.87, 69.0, 77.82, 145.04, 72.52
A, 35.56, 60.99, 40.09, 80.81, 71.12, 35.56
A, 51.26, 24.03, 61.26, 37.18, 102.52, 51.26
A, 53.86, 11.4, 52.71, 32.69, 107.72, 53.86
C, 82.42, 71.76, 24.2, 36.62, 164.84, 9.73
B, 20.0, 81.81, 84.57, 98.17, 40.0, 12.389
C, 49.08, 91.22, 79.44, 32.36, 98.16, 9.046
C, 17.55, 64.42, 95.92, 35.75, 35.1, 9.455
A, 15.19, 52.48, 5.19, 10.52, 30.38, 15.19
C, 46.66, 64.37, 12.98, 40.66, 93.32, 17.343
C, 20.65, 66.54, 48.14, 45.68, 41.3, 13.078
A, 50.14, 22.1, 47.38, 31.2, 100.28, 50.14
C, 76.02, 68.12, 22.04, 80.76, 152.04, 10.037
B, 20.76, 16.21, 40.7, 3.31, 41.52, 5.493
A, 5.9, 99.14, 98.08, 21.46, 11.8, 5.9
C, 75.36, 13.23, 88.79, 20.61, 150.72, 5.049
A, 73.5, 66.19, 22.03, 97.51, 147.0, 73.5
A, 28.98, 68.15, 66.71, 62.27, 57.96, 28.98
A, 12.21, 64.03, 13.47, 17.33, 24.42, 12.21
A, 71.71, 60.51, 70.37, 67.53, 143.42, 71.71
C, 8.65, 25.93, 59.15, 70.09, 17.3, 7.129
B, 71.46, 64.58, 25.82, 90.59, 142.92, 9.081
C, 75.13, 91.07, 33.4, 48.84, 150.26, 11.263
A, 20.91, 18.87, 98.42, 49.65, 41.82, 20.91
B, 46.24, 6.61, 82.22, 47.93, 92.48, 5.05
B, 43.55, 60.7, 17.08, 9.44, 87.1, 13.864
A, 13.8, 78.06, 88.2, 62.37, 27.6, 13.8
B, 45.23, 86.53, 43.08, 49.49, 90.46, 12.229
C, 42.91, 56.83, 4.08, 71.35, 85.82, 37.695
A, 62.04, 89.4, 66.86, 1.12, 124.08, 62.04
B, 16.07, 7.06, 77.12, 88.87, 32.14, 5.143
B, 50.79, 40.32, 32.47, 34.17, 101.58, 6.669
A, 92.04, 46.23, 62.12, 31.01, 184.08, 92.04
A, 86.74, 49.74, 94.96, 34.95, 173.48, 86.74
A, 39.98, 73.32, 52.71, 65.04, 79.96, 39.98
B, 66.11, 6.95, 38.49, 71.8, 132.22, 5.05
B, 72.64, 65.14, 19.87, 50.14, 145.28, 10.314
C, 2.0, 25.07, 9.1, 28.03, 4.0, 59.698
A, 71.73, 28.04, 83.33, 11.79, 143.46, 71.73
C, 40.53, 65.92, 86.43, 1.76, 81.06, 7.249
C, 90.83, 90.3, 78.88, 20.99, 181.66, 7.155
A, 53.53, 8.71, 42.68, 80.07, 107.06, 53.53
A, 57.87, 48.33, 39.67, 27.69, 115.74, 57.87
A, 20.85, 63.01, 50.0, 44.99, 41.7, 20.85
A, 62.16, 63.14, 33.02, 56.62, 124.32, 62.16
A, 7.98, 58.3, 54.69, 90.39, 15.96, 7.98
B, 18.23, 81.52, 100.18, 5.3, 36.46, 11.792
B, 48.64, 23.04, 66.52, 3.88, 97.28, 5.265
A, 29.92, 30.39, 47.13, 72.76, 59.84, 29.92
A, 58.69, 39.66, 48.77, 68.76, 117.38, 58.69
A, 28.39, 2.02, 7.94, 68.28, 56.78, 28.39
A, 67.33, 46.46, 17.37, 90.48, 134.66, 67.33
C, 58.02, 53.25, 68.95, 5.93, 116.04, 6.248
A, 65.61, 93.86, 3.93, 44.4, 131.22, 65.61
B, 66.7, 51.72, 65.98, 46.49, 133.4, 6.066
A, 48.66, 58.22, 32.73, 61.64, 97.32, 48.66
C, 16.65, 79.04, 5.86, 72.38, 33.3, 123.888
B, 37.8, 92.07, 8.68, 47.68, 75.6, 54.019
A, 59.25, 12.28, 56.95, 51.81, 118.5, 59.25
C, 35.46, 17.32, 80.56, 37.62, 70.92, 5.174
A, 25.48, 18.47, 49.25, 57.89, 50.96, 25.48
C, 34.07, 98.65, 82.07, 20.27, 68.14, 11.671
A, 93.56, 91.86, 40.03, 49.04, 187.12, 93.56
A, 5.12, 97.34, 97.02, 30.95, 10.24, 5.12
C, 25.28, 90.31, 43.27, 55.01, 50.56, 19.111
C, 94.35, 1.28, 76.76, 98.14, 188.7, 5.093
A, 8.47, 30.08, 16.12, 3.25, 16.94, 8.47
B, 9.85, 19.62, 19.61, 85.07, 19.7, 8.092
B, 60.54, 45.84, 56.67, 62.79, 121.08, 6.057
B, 19.95, 83.9, 47.41, 4.59, 39.9, 18.941
A, 85.76, 9.54, 16.16, 15.89, 171.52, 85.76
B, 50.6, 36.47, 83.24, 83.67, 101.2, 5.531
A, 51.73, 66.61, 17.43, 53.29, 103.46, 51.73
C, 5.37, 61.39, 96.27, 17.51, 10.74, 18.09
C, 68.91, 79.07, 32.79, 34.07, 137.82, 10.14
B, 71.13, 84.31, 87.45, 51.99, 142.26, 7.143
A, 82.81, 97.91, 62.39, 2.62, 165.62, 82.81
C, 40.65, 29.86, 23.71, 2.87, 81.3, 6.506
C, 98.85, 41.82, 91.0, 98.31, 197.7, 5.333
A, 65.3, 58.91, 60.87, 16.82, 130.6, 65.3
A, 48.29, 9.94, 26.97, 84.03, 96.58, 48.29
B, 92.64, 50.85, 54.68, 15.4, 185.28, 5.893
C, 5.15, 54.28, 26.73, 9.93, 10.3, 42.714
A, 80.2, 100.88, 13.98, 99.06, 160.4, 80.2
B, 89.03, 84.48, 66.37, 89.5, 178.06, 7.265
B, 89.36, 35.95, 100.6, 12.09, 178.72, 5.242
C, 45.62, 56.39, 37.14, 41.33, 91.24, 8.326
C, 82.01, 100.14, 66.81, 53.04, 164.02, 8.515
A, 33.96, 60.76, 18.56, 97.57, 67.92, 33.96
A, 79.41, 6.05, 78.24, 60.91, 158.82, 79.41
B, 83.71, 25.68, 98.5, 22.58, 167.42, 5.132
A, 49.38, 64.28, 26.26, 38.06, 98.76, 49.38
C, 60.88, 45.29, 61.67, 44.83, 121.76, 5.941
C, 21.83, 16.71, 57.03, 68.95, 43.66, 5.363
B, 72.15, 50.71, 1.56, 55.54, 144.3, 44.849
C, 51.69, 7.05, 5.42, 92.9, 103.38, 5.288
A, 5.34, 52.9, 91.79, 26.56, 10.68, 5.34
B, 69.88, 96.53, 94.56, 23.18, 139.76, 7.695
B, 24.21, 84.97, 90.47, 88.08, 48.42, 11.188
B, 38.14, 100.75, 68.59, 71.56, 76.28, 12.459
C, 29.31, 27.59, 37.13, 88.2, 58.62, 6.132
A, 100.18, 82.04, 22.24, 7.98, 200.36, 100.18
B, 60.75, 93.75, 38.61, 83.11, 121.5, 12.129
A, 24.65, 89.2, 91.51, 57.52, 49.3, 24.65
A, 76.19, 74.02, 45.39, 9.35, 152.38, 76.19
A, 2.69, 33.72, 32.57, 39.96, 5.38, 2.69
C, 4.03, 82.03, 37.29, 98.97, 8.06, 88.601
A, 84.37, 49.42, 45.57, 85.47, 168.74, 84.37
A, 40.14, 22.21, 65.15, 97.36, 80.28, 40.14
C, 65.66, 56.66, 88.95, 58.05, 131.32, 5.976
B, 39.85, 100.16, 36.88, 79.87, 79.7, 18.108
C, 81.19, 61.82, 19.09, 79.86, 162.38, 9.424
C, 85.32, 25.25, 9.12, 41.59, 170.64, 6.303
A, 35.77, 72.51, 25.77, 45.38, 71.54, 35.77
A, 6.44, 99.64, 51.52, 48.06, 12.88, 6.44
B, 16.35, 27.8, 28.81, 83.05, 32.7, 7.65
A, 12.52, 28.08, 63.28, 10.53, 25.04, 12.52
C, 12.3, 41.29, 65.72, 5.1, 24.6, 8.592
C, 19.44, 98.15, 73.59, 61.09, 38.88, 17.897
C, 83.86, 85.28, 36.14, 31.27, 167.72, 9.505
C, 71.61, 55.73, 71.08, 38.18, 143.22, 6.081
A, 18.93, 26.82, 69.59, 13.26, 37.86, 18.93
C, 37.51, 45.04, 56.28, 63.42, 75.02, 6.654
C, 64.39, 10.6, 50.35, 80.6, 128.78, 5.065
B, 95.89, 54.91, 61.92, 81.19, 191.78, 5.898
C, 66.75, 55.69, 85.5, 68.44, 133.5, 5.963
A, 97.37, 88.43, 27.84, 55.7, 194.74, 97.37
A, 6.66, 43.35, 50.09, 53.6, 13.32, 6.66
A, 82.29, 24.98, 84.28, 53.31, 164.58, 82.29
B, 100.75, 73.99, 33.21, 16.18, 201.5, 8.011
A, 86.52, 88.19, 8.07, 96.44, 173.04, 86.52
C, 55.49, 43.0, 80.4, 83.06, 110.98, 5.71
A, 42.6, 21.69, 33.62, 77.16, 85.2, 42.6
A, 77.77, 16.35, 28.99, 55.86, 155.54, 77.77
B, 28.19, 49.7, 26.97, 50.25, 56.38, 10.656
B, 60.7, 70.86, 40.18, 80.35, 121.4, 8.766
C, 82.59, 11.35, 8.47, 61.13, 165.18, 5.281
A, 48.7, 40.3, 3.55, 91.17, 97.4, 48.7
C, 35.6, 98.48, 69.82, 37.74, 71.2, 12.476
B, 12.59, 56.17, 56.62, 44.24, 25.18, 12.844
B, 21.26, 59.88, 86.13, 18.74, 42.52, 8.503
B, 94.83, 58.86, 78.13, 63.38, 189.66, 5.835
A, 54.24, 5.55, 60.98, 88.44, 108.48, 54.24
B, 72.67, 66.59, 36.85, 61.64, 145.34, 8.003
A, 25.71, 53.75, 29.78, 5.9, 51.42, 25.71
C, 44.17, 44.71, 99.63, 43.17, 88.34, 5.783
B, 38.45, 1.81, 38.13, 7.53, 76.9, 5.161
A, 88.18, 72.47, 91.39, 87.01, 176.36, 88.18
B, 34.81, 14.99, 17.95, 34.89, 69.62, 5.55
B, 87.96, 17.97, 76.06, 41.56, 175.92, 5.08
C, 5.58, 38.83, 32.66, 34.57, 11.16, 18.937
A, 33.41, 26.57, 53.55, 20.35, 66.82, 33.41
A, 31.48, 89.72, 32.29, 60.47, 62.96, 31.48
C, 79.48, 31.69, 61.77, 49.9, 158.96, 5.338
C, 12.97, 23.71, 72.39, 62.97, 25.94, 5.971
B, 57.92, 68.68, 13.24, 98.41, 115.84, 16.199
A, 55.08, 58.33, 11.39, 61.12, 110.16, 55.08
C, 48.85, 30.08, 59.75, 41.23, 97.7, 5.509
A, 73.45, 7.08, 90.04, 11.88, 146.9, 73.45
C, 21.36, 47.99, 45.48, 77.23, 42.72, 9.111
B, 49.67, 38.26, 17.15, 87.04, 99.34, 7.886
C, 90.92, 64.75, 54.06, 2.77, 181.84, 6.542
C, 31.81, 6.26, 90.58, 19.36, 63.62, 5.07
A, 15.61, 64.97, 66.62, 38.05, 31.22, 15.61
C, 49.13, 14.47, 25.26, 88.14, 98.26, 5.263
B, 56.86, 22.62, 67.63, 7.4, 113.72, 5.215
B, 73.93, 58.29, 75.94, 45.43, 147.86, 6.079
C, 55.5, 41.09, 23.25, 66.82, 111.0, 7.22
A, 39.66, 52.6, 77.52, 2.61, 79.32, 39.66
C, 88.79, 57.92, 80.76, 33.68, 177.58, 5.833
A, 35.48, 76.02, 8.45, 8.47, 70.96, 35.48
B, 28.16, 100.38, 99.2, 100.0, 56.32, 11.931
C, 84.21, 39.53, 10.02, 39.78, 168.42, 8.123
A, 67.47, 73.16, 78.37, 75.72, 134.94, 67.47
B, 40.37, 92.26, 70.82, 88.38, 80.74, 10.653
C, 93.35, 39.57, 91.21, 65.51, 186.7, 5.313
B, 79.08, 2.42, 87.06, 68.76, 158.16, 5.058
C, 87.29, 12.83, 28.63, 24.94, 174.58, 5.106
A, 64.72, 21.31, 41.17, 70.53, 129.44, 64.72
A, 28.54, 76.68, 94.19, 29.55, 57.08, 28.54
B, 3.38, 91.87, 90.61, 42.51, 6.76, 57.299
C, 2.15, 25.22, 9.36, 29.3, 4.3, 55.106
B, 35.7, 94.93, 9.13, 92.37, 71.4, 57.685
C, 63.95, 98.98, 64.88, 97.67, 127.9, 9.528
B, 17.55, 52.86, 62.23, 66.22, 35.1, 9.498
B, 85.59, 40.64, 41.64, 94.03, 171.18, 5.787
A, 93.58, 11.25, 31.5, 78.95, 187.16, 93.58
A, 61.75, 54.65, 93.52, 53.75, 123.5, 61.75
A, 13.3, 21.89, 34.91, 25.78, 26.6, 13.3
A, 34.7, 18.3, 85.3, 45.17, 69.4, 34.7
A, 30.81, 20.96, 57.15, 30.9, 61.62, 30.81
A, 3.46, 28.62, 31.36, 84.14, 6.92, 3.46
A, 35.33, 53.83, 53.32, 31.57, 70.66, 35.33
C, 93.11, 19.03, 48.39, 98.83, 186.22, 5.129
B, 2.99, 100.45, 43.86, 39.35, 5.98, 152.815
B, 32.91, 9.65, 66.58, 65.99, 65.82, 5.092
A, 88.22, 20.9, 80.36, 37.93, 176.44, 88.22
B, 26.44, 53.28, 80.41, 41.79, 52.88, 7.352
B, 18.87, 15.95, 21.87, 59.06, 37.74, 5.949
B, 7.25, 50.24, 63.15, 3.22, 14.5, 14.627
C, 18.9, 28.18, 37.31, 41.87, 37.8, 6.826
A, 41.0, 38.14, 87.97, 70.93, 82.0, 41.0
B, 71.04, 75.2, 5.16, 33.07, 142.08, 33.445
B, 25.12, 3.52, 97.49, 97.03, 50.24, 5.122
A, 11.25, 32.86, 41.27, 57.56, 22.5, 11.25
C, 30.19, 82.39, 39.08, 31.12, 60.38, 15.749
B, 33.56, 6.42, 43.46, 82.5, 67.12, 5.087
C, 15.04, 53.11, 80.04, 24.91, 30.08, 9.125
A, 58.65, 57.84, 71.69, 10.55, 117.3, 58.65
A, 19.3, 53.26, 16.99, 12.68, 38.6, 19.3
B, 87.97, 14.33, 32.65, 47.81, 175.94, 5.114
B, 60.6, 38.72, 35.75, 22.91, 121.2, 6.166
A, 98.72, 2.29, 24.99, 60.13, 197.44, 98.72
C, 48.61, 30.18, 79.53, 98.14, 97.22, 5.389
B, 85.16, 88.44, 53.08, 87.26, 170.32, 8.266
C, 26.21, 81.71, 1.66, 36.93, 52.42, 291.258
A, 50.31, 38.71, 94.61, 69.72, 100.62, 50.31
B, 17.99, 44.92, 25.11, 44.6, 35.98, 12.669
A, 32.06, 51.52, 94.39, 56.06, 64.12, 32.06
A, 43.87, 28.85, 30.54, 61.44, 87.74, 43.87
A, 15.21, 62.16, 99.4, 59.49, 30.42, 15.21
A, 27.39, 10.82, 92.22, 35.74, 54.78, 27.39
C, 86.4, 1.6, 74.37, 24.12, 172.8, 5.081
A, 11.65, 23.9, 90.98, 10.48, 23.3, 11.65
C, 53.11, 56.16, 3.38, 70.58, 106.22, 36.088
A, 47.03, 88.01, 67.36, 44.32, 94.06, 47.03
B, 59.33, 74.01, 89.6, 12.66, 118.66, 6.898
C, 44.71, 44.71, 3.75, 56.96, 89.42, 25.431
C, 50.64, 46.54, 53.2, 16.21, 101.28, 6.389
B, 83.46, 93.27, 57.47, 45.07, 166.92, 8.449
B, 37.97, 12.73, 2.61, 27.73, 75.94, 7.395
B, 16.04, 94.38, 26.66, 50.96, 32.08, 44.664
A, 2.6, 19.27, 77.75, 91.89, 5.2, 2.6
A, 37.32, 1.87, 100.97, 45.36, 74.64, 37.32
A, 11.89, 46.12, 31.63, 88.06, 23.78, 11.89
A, 76.17, 40.67, 34.2, 11.64, 152.34, 76.17
A, 50.62, 3.19, 100.54, 11.28, 101.24, 50.62
A, 46.05, 14.27, 35.36, 95.7, 92.1, 46.05
B, 54.71, 30.33, 27.86, 54.35, 109.42, 5.986
C, 14.18, 30.41, 70.07, 85.78, 28.36, 6.533
A, 40.52, 54.71, 2.95, 35.0, 81.04, 40.52
A, 13.86, 99.51, 33.49, 21.26, 27.72, 13.86
A, 59.04, 3.8, 32.48, 78.33, 118.08, 59.04
B, 99.92, 30.34, 88.65, 58.98, 199.84, 5.172
C, 29.86, 5.66, 23.69, 90.44, 59.72, 5.125
A, 18.17, 19.22, 67.16, 62.37, 36.34, 18.17
B, 33.03, 64.65, 43.41, 83.12, 66.06, 10.265
A, 41.16, 16.86, 66.52, 26.4, 82.32, 41.16
A, 67.43, 84.3, 4.16, 88.54, 134.86, 67.43
C, 15.55, 26.8, 69.69, 78.3, 31.1, 6.08
C, 21.89, 49.94, 95.9, 22.29, 43.78, 7.076
C, 39.3, 93.21, 24.29, 89.67, 78.6, 22.3
B, 48.52, 63.21, 47.42, 87.84, 97.04, 8.127
B, 85.92, 12.5, 2.19, 84.63, 171.84, 6.233
A, 44.38, 7.67, 22.27, 39.26, 88.76, 44.38
A, 34.03, 4.25, 44.89, 45.49, 68.06, 34.03
B, 80.58, 87.64, 18.22, 58.14, 161.16, 14.858
A, 49.02, 3.22, 88.64, 11.55, 98.04, 49.02
A, 13.6, 22.24, 97.44, 10.63, 27.2, 13.6
C, 9.08, 27.58, 73.0, 54.14, 18.16, 6.876
B, 53.34, 22.17, 45.9, 14.11, 106.68, 5.321
A, 26.56, 48.59, 92.99, 77.19, 53.12, 26.56
A, 9.07, 57.75, 48.18, 56.69, 18.14, 9.07
